OBJECTID,NUMERO_MUE,TIPO_MUEST,SYMBOL,Ag_ppm,Al_porcien,As_ppm,Au_ppb,Ba_ppm,Be_ppm,Bi_ppm,Br_ppm,Ca_porcien,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Eu_ppm,Fe_porcien,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,Ir_ppb,K_porcient,La_ppm,Li_ppm,Lu_ppm,Mg_porcien,Mn_ppm,Mo_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,S_porcient,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_porcien,TI_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,FRACCION,Na_porcien,REFERENCIA,METODO,Sr_ppm,latDD,lonDD,rng unidad,rng unid_1
"113",4001PPC,"85001",,-0.20000,9.07000,4.20000,13.00000,572.00000,-1.00000,12.00000,10.20000,4.65000,0.70000,20.00000,25.00000,59.00000,1.00000,47.00000,1.00000,6.13000,0.00000,0.00000,2.00000,1.00000,0.00000,7.00000,0.65000,0.85000,0.00000,0.10000,2.31000,1200.00000,6.00000,0.00000,15.00000,13.00000,900.00000,8.00000,191.00000,0.00000,0.20000,21.70000,-3.00000,5.40000,-10.00000,-0.50000,0.50000,0.00000,2.10000,0.73000,0.00000,3.40000,240.00000,2.00000,18.00000,1.20000,105.00000,0.00000,"85053",1.866,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",346.00000,-41.344538538999984,-71.886116212999980,"14",Volcanismo basáltico intracratónico (T vic B)
"114",4002PPC,"85001",,-0.20000,8.83000,4.10000,22.00000,343.00000,-1.00000,-5.00000,10.80000,4.86000,1.50000,25.00000,25.00000,82.00000,-1.00000,53.20000,1.00000,5.71000,0.00000,0.00000,2.00000,5.00000,0.00000,-5.00000,0.80000,-0.05000,0.00000,0.20000,2.74000,1160.00000,6.00000,0.00000,18.00000,32.00000,800.00000,6.00000,155.00000,0.00000,0.10000,20.50000,-3.00000,5.40000,-10.00000,-0.50000,-0.50000,0.00000,2.70000,0.65000,0.00000,1.60000,223.00000,2.00000,18.10000,1.70000,100.00000,0.00000,"85053",2.767,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",371.00000,-41.347107461999933,-71.880042157999981,"14",Volcanismo basáltico intracratónico (T vic B)
"115",4003PPC,"85001",,-0.20000,9.11000,3.40000,11.00000,398.00000,-1.00000,9.00000,5.70000,4.89000,0.80000,23.00000,26.00000,77.00000,1.00000,49.20000,1.50000,5.69000,0.00000,0.00000,3.00000,-1.00000,0.00000,-5.00000,0.84000,-0.05000,0.00000,0.20000,2.80000,1100.00000,5.00000,0.00000,6.00000,30.00000,650.00000,5.00000,128.00000,0.00000,0.20000,20.20000,-3.00000,4.80000,-10.00000,0.80000,-0.50000,0.00000,2.90000,0.63000,0.00000,-0.50000,209.00000,2.00000,17.20000,1.20000,92.80000,0.00000,"85053",1.952,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",379.00000,-41.348145560999967,-71.874102006999976,"14",Volcanismo basáltico intracratónico (T vic B)
"116",4005PPC,"85001",,-0.20000,9.34000,3.20000,5.00000,535.00000,-1.00000,55.00000,6.50000,5.01000,0.50000,25.00000,31.00000,82.00000,2.00000,42.60000,1.30000,7.57000,0.00000,0.00000,-1.00000,6.00000,0.00000,9.00000,0.87000,12.60000,0.00000,0.30000,2.82000,1160.00000,-1.00000,0.00000,29.00000,35.00000,650.00000,-2.00000,70.00000,0.00000,0.20000,29.00000,-3.00000,3.20000,-10.00000,0.60000,1.80000,0.00000,-0.20000,0.70000,0.00000,1.10000,203.00000,4.00000,16.70000,1.90000,94.90000,0.00000,"85053",2.203,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",389.00000,-41.353846755999939,-71.860050687999944,"14",Volcanismo basáltico intracratónico (T vic B)
"121",4012PPC,"85001",,-0.20000,8.75000,4.50000,10.00000,660.00000,-1.00000,-5.00000,6.60000,4.63000,1.60000,20.00000,-1.00000,85.00000,2.00000,51.80000,-0.20000,-0.01000,0.00000,0.00000,2.00000,3.00000,0.00000,13.00000,0.80000,12.80000,0.00000,-0.05000,2.71000,1030.00000,6.00000,0.00000,-5.00000,37.00000,650.00000,7.00000,15.00000,0.00000,0.30000,19.10000,-3.00000,5.10000,-10.00000,-0.50000,-0.50000,0.00000,3.50000,0.58000,0.00000,1.60000,189.00000,2.00000,15.90000,1.10000,82.80000,0.00000,"85053",1.797,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",383.00000,-41.366266201999963,-71.878740118999985,"14",Volcanismo basáltico intracratónico (T vic B)
"122",4013PPC,"85001",,-0.20000,8.82000,2.40000,22.00000,365.00000,-1.00000,27.00000,4.90000,4.96000,0.90000,22.00000,30.00000,95.00000,1.00000,52.10000,1.00000,6.22000,0.00000,0.00000,1.00000,4.00000,0.00000,-5.00000,0.82000,15.60000,0.00000,0.10000,3.03000,1150.00000,6.00000,0.00000,11.00000,40.00000,650.00000,7.00000,75.00000,0.00000,0.20000,20.80000,-3.00000,5.10000,-10.00000,-0.50000,0.50000,0.00000,-0.20000,0.67000,0.00000,3.80000,236.00000,3.00000,15.80000,1.70000,99.30000,0.00000,"85053",2.676,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",388.00000,-41.366827304999958,-71.873050116999934,"14",Volcanismo basáltico intracratónico (T vic B)
"123",4014PPC,"85001",,-0.20000,9.40000,2.40000,20.00000,542.00000,-1.00000,-5.00000,3.90000,5.33000,-0.50000,24.00000,29.00000,92.00000,-1.00000,50.80000,-0.20000,-0.01000,0.00000,0.00000,3.00000,5.00000,0.00000,-5.00000,0.85000,-0.05000,0.00000,0.10000,3.23000,1160.00000,6.00000,0.00000,6.00000,43.00000,600.00000,8.00000,199.00000,0.00000,-0.10000,20.50000,-3.00000,5.10000,-10.00000,0.60000,-0.50000,0.00000,3.90000,0.65000,0.00000,2.60000,234.00000,1.00000,16.20000,1.00000,98.70000,0.00000,"85053",1.905,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",408.00000,-41.368352394999931,-71.868111027999987,"14",Volcanismo basáltico intracratónico (T vic B)
"124",4015PPC,"85001",,-0.20000,9.04000,3.20000,12.00000,337.00000,-1.00000,16.00000,5.40000,5.05000,0.60000,25.00000,27.00000,89.00000,3.00000,42.90000,0.80000,7.53000,0.00000,0.00000,3.00000,-1.00000,0.00000,10.00000,0.76000,13.50000,0.00000,0.44000,3.05000,1130.00000,-1.00000,0.00000,19.00000,43.00000,600.00000,-2.00000,21.00000,0.00000,0.30000,26.10000,-3.00000,2.90000,-10.00000,0.90000,1.20000,0.00000,5.20000,0.78000,0.00000,2.30000,264.00000,2.00000,17.40000,1.70000,99.00000,0.00000,"85053",1.888,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",372.00000,-41.371580186999950,-71.864184100999978,"14",Volcanismo basáltico intracratónico (T vic B)
"125",4016PPC,"85001",,-0.20000,9.57000,6.80000,5.00000,628.00000,-1.00000,8.00000,27.50000,3.83000,0.50000,21.00000,20.00000,64.00000,2.00000,50.60000,1.20000,6.10000,0.00000,0.00000,3.00000,3.00000,0.00000,30.00000,0.60000,12.10000,0.00000,0.77000,1.98000,848.00000,2.00000,0.00000,37.00000,21.00000,800.00000,-2.00000,65.00000,0.00000,0.70000,29.40000,-3.00000,4.00000,-10.00000,1.60000,1.70000,0.00000,4.20000,0.74000,0.00000,5.00000,239.00000,-1.00000,21.20000,2.40000,81.10000,0.00000,"85053",1.998,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",264.00000,-41.375681366999970,-71.860386400999971,"14",Volcanismo basáltico intracratónico (T vic B)
"134",4034PPC,"85001",,-0.20000,9.46000,3.20000,-2.00000,560.00000,-1.00000,24.00000,7.20000,5.19000,-0.50000,-3.00000,23.00000,58.00000,1.00000,48.70000,1.10000,6.04000,0.00000,0.00000,3.00000,6.00000,0.00000,48.00000,0.64000,9.50000,0.00000,0.50000,3.00000,1180.00000,-1.00000,0.00000,35.00000,31.00000,750.00000,-2.00000,98.00000,0.00000,-0.10000,24.70000,-3.00000,2.80000,-10.00000,0.70000,2.00000,0.00000,2.60000,0.72000,0.00000,0.70000,218.00000,3.00000,17.20000,-0.20000,97.80000,0.00000,"85053",1.874,"Contribución Técnica N° 14. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4172-IV San C. de Bariloche, Provincias de Río Negro y del Neuquén, R.","85104",372.00000,-41.341706937999959,-71.825179492999951,"14",Volcanismo basáltico intracratónico (T vic B)
